Product_Name,Category,Brand,Price,Rating,Review_Text,Skin_Type,Age_Group,Purchase_Platform,Recommendation
MAC Serum Everyone,Serum,MAC,1019.01,3,"Works fine, but I’ve used better alternatives.",Oily,35-44,Brand Website,No
Charlotte Tilbury Sunscreen Ten,Sunscreen,Charlotte Tilbury,1573.09,5,Does exactly what it claims. My go-to product now!,Normal,45-54,Tira Beauty,Yes
Minimalist BB Cream Raise,BB Cream,Minimalist,1421.31,4,Absolutely love this product! My skin feels so smooth and radiant.,Normal,45-54,Myntra,Yes
Lakme Sheet Mask Quickly,Sheet Mask,Lakme,2273.99,5,One of the best products I’ve tried! Totally satisfied.,Dry,18-24,Flipkart,Yes
Maybelline Blush Lawyer,Blush,Maybelline,3315.71,2,Smells weird and the texture feels heavy.,Oily,18-24,Flipkart,No
Chanel Highlighter Late,Highlighter,Chanel,789.72,4,Great texture and long-lasting effect — definitely worth the price!,Normal,45-54,Sephora,Yes
Chanel Blush Young,Blush,Chanel,1507.07,3,"It’s okay, not bad but not great either.",Sensitive,25-34,Myntra,No
Dior Lipstick Responsibility,Lipstick,Dior,3326.6,1,Smells weird and the texture feels heavy.,Dry,35-44,Brand Website,No
The Ordinary Serum Generation,Serum,The Ordinary,2832.11,5,Does exactly what it claims. My go-to product now!,Combination,25-34,Nykaa,Yes
Maybelline Highlighter Fear,Highlighter,Maybelline,254.56,5,Smells amazing and the packaging is super cute. Highly recommend!,Oily,55+,Tira Beauty,Yes
Rare Beauty Face Oil Race,Face Oil,Rare Beauty,835.34,4,Lightweight and hydrating. It blends beautifully and feels premium.,Oily,55+,Nykaa,Yes
Colorbar BB Cream Fish,BB Cream,Colorbar,1277.81,1,Not worth the hype. I regret buying it.,Sensitive,25-34,Nykaa,No
Chanel Highlighter Evening,Highlighter,Chanel,1203.53,1,Not worth the hype. I regret buying it.,Sensitive,18-24,Flipkart,No
Colorbar CC Cream Black,CC Cream,Colorbar,2612.83,4,Great texture and long-lasting effect — definitely worth the price!,Normal,35-44,Myntra,Yes
Dior Countour Sure,Countour,Dior,1739.87,2,Too oily and sticky for my skin type.,Normal,18-24,Tira Beauty,No
Rare Beauty Sheet Mask Employee,Sheet Mask,Rare Beauty,793.45,2,Smells weird and the texture feels heavy.,Oily,18-24,Nykaa,No
Kylie Cosmetics Blush Law,Blush,Kylie Cosmetics,2486.8,4,One of the best products I’ve tried! Totally satisfied.,Dry,25-34,Brand Website,Yes
Estee Lauder Moisturizer Drive,Moisturizer,Estee Lauder,735.24,1,Made my skin break out. Wouldn’t recommend.,Combination,35-44,Sephora,No
Fenty Beauty Countour Phone,Countour,Fenty Beauty,1625.58,2,Made my skin break out. Wouldn’t recommend.,Combination,45-54,Amazon,No
Rare Beauty Sunscreen Official,Sunscreen,Rare Beauty,2685.86,3,Average product — didn’t see a huge difference.,Dry,18-24,Amazon,No
Maybelline Sunscreen Too,Sunscreen,Maybelline,1290.25,1,Totally disappointed. Waste of money.,Oily,45-54,Flipkart,No
Kylie Cosmetics Moisturizer Believe,Moisturizer,Kylie Cosmetics,940.8,3,Takes time to show results. Not sure if I’d repurchase.,Sensitive,45-54,Myntra,No
Estee Lauder Highlighter Cultural,Highlighter,Estee Lauder,3253.58,5,Great texture and long-lasting effect — definitely worth the price!,Combination,18-24,Nykaa,Yes
Maybelline Blush Player,Blush,Maybelline,2632.44,5,Affordable yet effective — my skin has never looked better!,Combination,45-54,Myntra,Yes
Colorbar Lip Gloss Page,Lip Gloss,Colorbar,1338.92,4,Affordable yet effective — my skin has never looked better!,Oily,25-34,Tira Beauty,Yes
Fenty Beauty Foundation News,Foundation,Fenty Beauty,2811.76,2,Smells weird and the texture feels heavy.,Oily,45-54,Nykaa,No
Estee Lauder Highlighter Night,Highlighter,Estee Lauder,474.83,1,Didn’t work for my skin at all. Caused mild irritation.,Sensitive,25-34,Tira Beauty,No
Maybelline Highlighter Look,Highlighter,Maybelline,2378.04,2,Totally disappointed. Waste of money.,Dry,18-24,Sephora,No
Colorbar Color Corrector Per,Color Corrector,Colorbar,3321.97,1,Totally disappointed. Waste of money.,Normal,55+,Tira Beauty,No
Clinique Color Corrector Activity,Color Corrector,Clinique,1572.93,4,Does exactly what it claims. My go-to product now!,Oily,18-24,Brand Website,Yes
Estee Lauder CC Cream Computer,CC Cream,Estee Lauder,2914.68,4,Great texture and long-lasting effect — definitely worth the price!,Oily,18-24,Sephora,Yes
Huda Beauty Color Corrector Question,Color Corrector,Huda Beauty,2833.25,2,Totally disappointed. Waste of money.,Combination,35-44,Myntra,No
Dior Countour End,Countour,Dior,375.87,3,"It’s okay, not bad but not great either.",Oily,55+,Amazon,No
Fenty Beauty Cleanser Right,Cleanser,Fenty Beauty,377.73,4,One of the best products I’ve tried! Totally satisfied.,Combination,45-54,Nykaa,Yes
Maybelline Serum House,Serum,Maybelline,930.52,5,Smells amazing and the packaging is super cute. Highly recommend!,Dry,45-54,Flipkart,Yes
Huda Beauty Sheet Mask Example,Sheet Mask,Huda Beauty,2018.07,2,Not worth the hype. I regret buying it.,Sensitive,45-54,Amazon,No
Lakme Toner Base,Toner,Lakme,2537.42,1,Didn’t work for my skin at all. Caused mild irritation.,Sensitive,55+,Amazon,No
Rare Beauty Toner Stock,Toner,Rare Beauty,3333.54,1,Made my skin break out. Wouldn’t recommend.,Oily,25-34,Brand Website,No
Kylie Cosmetics Face Oil Others,Face Oil,Kylie Cosmetics,375.27,3,Average product — didn’t see a huge difference.,Dry,25-34,Sephora,No
Kylie Cosmetics Serum Back,Serum,Kylie Cosmetics,1810.36,1,Totally disappointed. Waste of money.,Dry,45-54,Tira Beauty,No
Charlotte Tilbury Blush Church,Blush,Charlotte Tilbury,1182.94,2,Not worth the hype. I regret buying it.,Combination,45-54,Flipkart,No
Dior CC Cream Guy,CC Cream,Dior,3206.05,2,Made my skin break out. Wouldn’t recommend.,Normal,45-54,Amazon,No
Maybelline Foundation Letter,Foundation,Maybelline,2614.49,1,Smells weird and the texture feels heavy.,Oily,25-34,Sephora,No
Kylie Cosmetics Highlighter Customer,Highlighter,Kylie Cosmetics,2428.17,2,Smells weird and the texture feels heavy.,Oily,55+,Sephora,No
Rare Beauty Sunscreen She,Sunscreen,Rare Beauty,2159.1,5,One of the best products I’ve tried! Totally satisfied.,Oily,55+,Flipkart,Yes
L'Oréal Highlighter Energy,Highlighter,L'Oréal,1838.2,1,Not worth the hype. I regret buying it.,Oily,55+,Myntra,No
MAC Color Corrector Tell,Color Corrector,MAC,375.08,1,Not worth the hype. I regret buying it.,Dry,55+,Sephora,No
Rare Beauty Countour Blue,Countour,Rare Beauty,1652.4,2,Made my skin break out. Wouldn’t recommend.,Dry,18-24,Brand Website,No
Dior Foundation Gun,Foundation,Dior,679.85,5,Affordable yet effective — my skin has never looked better!,Sensitive,18-24,Brand Website,Yes
Kylie Cosmetics Toner Share,Toner,Kylie Cosmetics,2345.46,2,Smells weird and the texture feels heavy.,Normal,35-44,Nykaa,No
Clinique Lipstick About,Lipstick,Clinique,504.19,5,Perfect for my skin type. I can already see a glow after a few uses.,Sensitive,25-34,Sephora,Yes
Dior Foundation Near,Foundation,Dior,2492.56,5,Absolutely love this product! My skin feels so smooth and radiant.,Oily,18-24,Amazon,Yes
Huda Beauty Sheet Mask Leave,Sheet Mask,Huda Beauty,1987.38,3,"Works fine, but I’ve used better alternatives.",Oily,25-34,Flipkart,No
Chanel CC Cream Four,CC Cream,Chanel,1007.92,3,Takes time to show results. Not sure if I’d repurchase.,Oily,45-54,Flipkart,No
Minimalist CC Cream Candidate,CC Cream,Minimalist,3097.45,3,"Works fine, but I’ve used better alternatives.",Combination,55+,Amazon,No
Chanel Lipstick Production,Lipstick,Chanel,3432.8,1,Not worth the hype. I regret buying it.,Dry,18-24,Tira Beauty,No
MAC CC Cream Option,CC Cream,MAC,538.97,2,Not worth the hype. I regret buying it.,Combination,35-44,Amazon,No
